ticket_id,category,priority,status,department,assigned_agent,created_date,resolved_date,resolution_hours,sla_breached,is_weekend
TKT-00021,Email,Critical,Resolved,IT,Vikram Joshi,2023-02-23 20:20:18,2023-02-23 23:20:18,3.0,No,No
TKT-00022,Software,Medium,In Progress,Finance,Rohit Verma,2023-09-14 10:35:12,,,,No
TKT-00023,Software,Critical,Closed,Marketing,Priya Singh,2024-07-20 01:50:34,2024-07-20 07:50:34,6.0,Yes,Yes
TKT-00024,Access/Login,High,Resolved,Finance,Priya Singh,2024-10-08 17:31:54,2024-10-08 19:31:54,2.0,No,No
TKT-00025,Email,Low,Resolved,HR,Anjali Mehta,2024-12-25 05:13:58,2024-12-28 23:13:58,90.0,Yes,No
TKT-00026,Hardware,High,Resolved,Finance,Rohit Verma,2023-03-01 04:02:28,2023-03-01 23:02:28,19.0,No,No
TKT-00027,Printer,Critical,Closed,IT,Priya Singh,2023-12-06 07:40:00,2023-12-06 11:40:00,4.0,No,No
TKT-00028,Hardware,Low,Resolved,IT,Neha Gupta,2024-09-03 02:24:32,2024-09-05 23:24:32,69.0,No,No
TKT-00029,Printer,Medium,Closed,HR,Neha Gupta,2023-05-24 03:46:09,2023-05-26 11:46:09,56.0,Yes,No
TKT-00030,Software,Low,Closed,Finance,Neha Gupta,2024-01-26 01:33:12,2024-01-27 10:33:12,33.0,No,No
TKT-00031,Hardware,Medium,Open,Operations,Amit Sharma,2023-08-21 16:40:44,,,,No
TKT-00032,Hardware,Critical,Open,Finance,Neha Gupta,2024-01-15 07:33:52,,,,No
TKT-00033,Hardware,Low,Resolved,IT,Rohit Verma,2023-02-07 08:53:41,2023-02-10 04:53:41,68.0,No,No
TKT-00034,Printer,High,Resolved,Sales,Priya Singh,2023-05-18 02:27:16,2023-05-19 03:27:16,25.0,Yes,No
TKT-00035,Hardware,High,Resolved,Operations,Neha Gupta,2024-08-17 10:39:49,2024-08-18 04:39:49,18.0,No,Yes
TKT-00036,Hardware,Critical,Resolved,Finance,Amit Sharma,2024-01-06 01:42:35,2024-01-06 05:42:35,4.0,No,Yes
TKT-00037,Access/Login,Low,Open,Finance,Suresh Kumar,2023-04-02 08:15:06,,,,Yes
TKT-00038,Access/Login,Medium,Closed,Sales,Rohit Verma,2024-02-05 17:35:46,2024-02-07 16:35:46,47.0,No,No
TKT-00039,Software,Low,Resolved,Marketing,Rohit Verma,2024-04-08 05:27:19,2024-04-11 01:27:19,68.0,No,No
TKT-00040,Hardware,Medium,In Progress,HR,Amit Sharma,2023-07-15 17:11:20,,,,Yes
TKT-00041,Software,Critical,Open,Finance,Rohit Verma,2023-04-08 16:07:13,,,,Yes
TKT-00042,Printer,Medium,In Progress,Legal,Anjali Mehta,2024-08-12 05:00:33,,,,No
TKT-00043,Network,Critical,Resolved,Finance,Rohit Verma,2023-02-02 22:15:39,2023-02-03 07:15:39,9.0,Yes,No
TKT-00044,Software,Low,Closed,Marketing,Rohit Verma,2023-05-20 02:29:08,2023-05-21 14:29:08,36.0,No,Yes
TKT-00045,Email,Medium,In Progress,Legal,Amit Sharma,2023-12-31 05:42:19,,,,Yes
TKT-00046,Hardware,Low,Closed,Marketing,Rohit Verma,2023-12-30 10:58:47,2023-12-31 16:58:47,30.0,No,Yes
TKT-00047,Printer,Medium,Resolved,HR,Anjali Mehta,2023-03-26 01:48:09,2023-03-27 16:48:09,39.0,No,Yes
TKT-00048,Email,Medium,Resolved,HR,Rohit Verma,2024-04-17 14:31:21,2024-04-19 21:31:21,55.0,Yes,No
TKT-00049,Network,Low,Resolved,HR,Rohit Verma,2024-06-14 10:17:05,2024-06-17 19:17:05,81.0,Yes,No
TKT-00050,Printer,Low,In Progress,Legal,Priya Singh,2024-11-01 09:42:23,,,,No
TKT-00051,Printer,Critical,Closed,IT,Vikram Joshi,2024-08-14 21:17:44,2024-08-14 23:17:44,2.0,No,No
TKT-00052,Access/Login,High,Open,Finance,Priya Singh,2023-04-06 06:50:30,,,,No
TKT-00053,Software,Low,Resolved,Sales,Rohit Verma,2023-01-11 15:26:05,2023-01-12 09:26:05,18.0,No,No
TKT-00054,Printer,Medium,Closed,Legal,Suresh Kumar,2024-11-20 16:27:19,2024-11-20 22:27:19,6.0,No,No
TKT-00055,Software,Medium,In Progress,HR,Amit Sharma,2023-09-03 23:13:39,,,,Yes
TKT-00056,Access/Login,Medium,Closed,IT,Suresh Kumar,2023-06-04 11:48:02,2023-06-05 08:48:02,21.0,No,Yes
TKT-00057,Hardware,Medium,Open,Marketing,Anjali Mehta,2024-10-07 20:02:44,,,,No
TKT-00058,Printer,Critical,Closed,Marketing,Vikram Joshi,2024-10-22 19:32:12,2024-10-23 00:32:12,5.0,Yes,No
TKT-00059,Email,Medium,Resolved,IT,Anjali Mehta,2024-12-22 06:02:53,2024-12-23 22:02:53,40.0,No,Yes
TKT-00060,Access/Login,Medium,Resolved,Marketing,Priya Singh,2024-11-24 19:38:44,2024-11-26 12:38:44,41.0,No,Yes
TKT-00061,Email,High,Resolved,Finance,Neha Gupta,2024-04-19 23:34:46,2024-04-20 21:34:46,22.0,No,No
TKT-00062,Access/Login,Medium,Closed,Operations,Neha Gupta,2023-09-13 10:44:19,2023-09-15 09:44:19,47.0,No,No
TKT-00063,Email,Medium,Closed,HR,Vikram Joshi,2023-10-23 19:48:24,2023-10-25 19:48:24,48.0,No,No
TKT-00064,Software,Low,Resolved,IT,Suresh Kumar,2024-11-11 08:23:40,2024-11-12 03:23:40,19.0,No,No
TKT-00065,Software,High,Resolved,IT,Priya Singh,2024-06-04 14:14:03,2024-06-05 14:14:03,24.0,No,No
TKT-00066,Hardware,High,Resolved,Legal,Anjali Mehta,2024-07-02 20:30:57,2024-07-02 23:30:57,3.0,No,No
TKT-00067,Software,Critical,Resolved,Finance,Vikram Joshi,2024-06-13 03:34:28,2024-06-13 12:34:28,9.0,Yes,No
TKT-00068,Email,Medium,Closed,IT,Suresh Kumar,2023-08-27 07:36:26,2023-08-28 15:36:26,32.0,No,Yes
TKT-00069,Access/Login,High,Closed,IT,Neha Gupta,2024-05-23 08:07:53,2024-05-23 17:07:53,9.0,No,No
TKT-00070,Email,Medium,Resolved,IT,Amit Sharma,2024-12-02 02:23:20,2024-12-02 22:23:20,20.0,No,No
TKT-00071,Network,High,Resolved,Finance,Priya Singh,2023-03-18 08:28:44,2023-03-18 14:28:44,6.0,No,Yes
TKT-00072,Hardware,Medium,Resolved,IT,Neha Gupta,2024-12-29 12:35:31,2024-12-30 06:35:31,18.0,No,Yes
TKT-00073,Access/Login,Critical,Closed,Marketing,Amit Sharma,2024-01-24 03:41:47,2024-01-24 04:41:47,1.0,No,No
TKT-00074,Network,Low,Resolved,Legal,Neha Gupta,2023-06-28 16:28:43,2023-07-01 22:28:43,78.0,Yes,No
TKT-00075,Email,High,Resolved,Sales,Neha Gupta,2024-05-09 12:08:13,2024-05-10 02:08:13,14.0,No,No
TKT-00076,Printer,Medium,Resolved,Finance,Vikram Joshi,2024-06-30 01:42:25,2024-06-30 14:42:25,13.0,No,Yes
TKT-00077,Hardware,Critical,Closed,Marketing,Amit Sharma,2024-04-28 05:54:49,2024-04-28 08:54:49,3.0,No,Yes
TKT-00078,Access/Login,Low,Resolved,Sales,Priya Singh,2024-07-06 21:17:57,2024-07-09 17:17:57,68.0,No,Yes
TKT-00079,Network,High,Open,Sales,Vikram Joshi,2024-05-12 16:34:17,,,,Yes
TKT-00080,Hardware,Critical,Resolved,Marketing,Amit Sharma,2023-02-20 17:26:58,2023-02-20 21:26:58,4.0,No,No
TKT-00081,Software,High,Closed,Finance,Priya Singh,2023-04-23 19:07:01,2023-04-24 00:07:01,5.0,No,Yes
TKT-00082,Software,Medium,Resolved,Sales,Priya Singh,2024-04-29 11:23:23,2024-05-01 06:23:23,43.0,No,No
TKT-00083,Software,Critical,Resolved,HR,Rohit Verma,2024-04-22 05:45:28,2024-04-22 12:45:28,7.0,Yes,No
TKT-00084,Printer,Low,Closed,Legal,Anjali Mehta,2023-04-13 15:17:19,2023-04-15 08:17:19,41.0,No,No
TKT-00085,Printer,Medium,Resolved,Operations,Vikram Joshi,2024-05-10 19:52:04,2024-05-11 22:52:04,27.0,No,No
TKT-00086,Printer,Medium,Closed,Sales,Amit Sharma,2023-07-17 02:47:16,2023-07-19 11:47:16,57.0,Yes,No
TKT-00087,Access/Login,Critical,Closed,Legal,Neha Gupta,2023-06-01 12:13:56,2023-06-01 21:13:56,9.0,Yes,No
TKT-00088,Printer,Low,Open,Operations,Vikram Joshi,2023-09-25 17:01:16,,,,No
TKT-00089,Network,Medium,Resolved,HR,Rohit Verma,2024-11-08 11:34:23,2024-11-09 07:34:23,20.0,No,No
TKT-00090,Email,Medium,Resolved,HR,Neha Gupta,2023-08-31 12:08:03,2023-09-01 04:08:03,16.0,No,No
TKT-00091,Network,High,Resolved,Operations,Anjali Mehta,2023-09-09 22:52:08,2023-09-10 00:52:08,2.0,No,Yes
TKT-00092,Software,Low,Closed,IT,Suresh Kumar,2024-08-16 22:55:10,2024-08-18 14:55:10,40.0,No,No
TKT-00093,Access/Login,High,Resolved,Finance,Neha Gupta,2024-05-05 15:55:54,2024-05-06 14:55:54,23.0,No,Yes
TKT-00094,Network,Medium,Closed,IT,Anjali Mehta,2023-06-17 03:49:45,2023-06-18 05:49:45,26.0,No,Yes
TKT-00095,Network,Medium,Resolved,Marketing,Priya Singh,2024-01-21 02:08:28,2024-01-21 14:08:28,12.0,No,Yes
TKT-00096,Printer,Low,Resolved,IT,Rohit Verma,2024-08-03 02:51:38,2024-08-06 15:51:38,85.0,Yes,Yes
TKT-00097,Network,Critical,Open,Sales,Priya Singh,2023-11-07 11:08:05,,,,No
TKT-00098,Printer,Medium,Resolved,HR,Suresh Kumar,2024-08-29 19:01:25,2024-08-31 20:01:25,49.0,Yes,No
TKT-00099,Hardware,High,Closed,IT,Neha Gupta,2023-03-03 05:57:13,2023-03-03 12:57:13,7.0,No,No
TKT-00100,Network,Critical,Resolved,Legal,Amit Sharma,2024-01-07 12:00:32,2024-01-07 22:00:32,10.0,Yes,Yes
TKT-00101,Printer,Medium,Resolved,Legal,Suresh Kumar,2024-11-26 16:48:46,2024-11-27 02:48:46,10.0,No,No
TKT-00102,Email,High,Closed,Legal,Suresh Kumar,2023-12-27 16:08:42,2023-12-28 10:08:42,18.0,No,No
TKT-00103,Access/Login,Critical,Resolved,Operations,Neha Gupta,2024-09-06 09:59:08,2024-09-06 10:59:08,1.0,No,No
TKT-00104,Email,Critical,Resolved,Legal,Priya Singh,2024-05-04 23:16:04,2024-05-05 01:16:04,2.0,No,Yes
TKT-00105,Software,Low,Closed,Finance,Amit Sharma,2023-01-22 18:10:21,2023-01-25 08:10:21,62.0,No,Yes
TKT-00106,Access/Login,Low,Resolved,Marketing,Rohit Verma,2024-02-27 01:19:53,2024-02-29 21:19:53,68.0,No,No
TKT-00107,Network,High,Closed,Marketing,Vikram Joshi,2024-07-11 00:30:00,2024-07-11 05:30:00,5.0,No,No
TKT-00108,Software,Medium,In Progress,Legal,Priya Singh,2024-03-07 22:59:37,,,,No
TKT-00109,Email,High,Closed,Sales,Neha Gupta,2023-09-24 05:06:35,2023-09-25 05:06:35,24.0,No,Yes
TKT-00110,Printer,Medium,Resolved,Operations,Neha Gupta,2023-10-03 21:59:42,2023-10-04 07:59:42,10.0,No,No
TKT-00111,Access/Login,High,Closed,HR,Amit Sharma,2024-03-15 19:43:24,2024-03-16 23:43:24,28.0,Yes,No
TKT-00112,Email,Critical,In Progress,Marketing,Vikram Joshi,2024-03-29 18:41:11,,,,No
TKT-00113,Access/Login,Medium,Resolved,Sales,Priya Singh,2023-04-11 04:27:13,2023-04-12 12:27:13,32.0,No,No
TKT-00114,Hardware,Medium,Resolved,Sales,Anjali Mehta,2023-09-13 20:07:13,2023-09-16 07:07:13,59.0,Yes,No
TKT-00115,Access/Login,Medium,Resolved,IT,Vikram Joshi,2023-02-15 02:03:44,2023-02-15 09:03:44,7.0,No,No
TKT-00116,Network,Low,Resolved,Legal,Neha Gupta,2024-12-10 07:20:40,2024-12-13 10:20:40,75.0,Yes,No
TKT-00117,Access/Login,Medium,Resolved,Sales,Suresh Kumar,2023-10-04 21:21:35,2023-10-06 18:21:35,45.0,No,No
TKT-00118,Software,Low,Resolved,Sales,Neha Gupta,2023-06-11 13:46:29,2023-06-14 13:46:29,72.0,No,Yes
TKT-00119,Software,High,Resolved,HR,Suresh Kumar,2023-07-26 06:54:50,2023-07-26 15:54:50,9.0,No,No
TKT-00120,Access/Login,Critical,Closed,Finance,Neha Gupta,2024-01-06 06:35:50,2024-01-06 11:35:50,5.0,Yes,Yes
TKT-00121,Access/Login,High,In Progress,Finance,Neha Gupta,2024-11-24 21:10:18,,,,Yes
TKT-00122,Email,Medium,Open,Legal,Amit Sharma,2024-12-06 09:31:57,,,,No
TKT-00123,Network,Critical,Closed,Legal,Amit Sharma,2024-08-19 16:20:11,2024-08-20 02:20:11,10.0,Yes,No
TKT-00124,Email,Critical,Resolved,Finance,Neha Gupta,2024-11-23 08:48:21,2024-11-23 14:48:21,6.0,Yes,Yes
TKT-00125,Email,High,Resolved,Sales,Vikram Joshi,2024-07-18 21:44:04,2024-07-19 06:44:04,9.0,No,No
TKT-00126,Access/Login,Low,Closed,HR,Rohit Verma,2024-10-06 05:48:57,2024-10-09 03:48:57,70.0,No,Yes
TKT-00127,Access/Login,Critical,Closed,Marketing,Priya Singh,2024-01-30 01:24:28,2024-01-30 10:24:28,9.0,Yes,No
TKT-00128,Email,Medium,Resolved,Legal,Neha Gupta,2024-06-16 18:14:15,2024-06-18 08:14:15,38.0,No,Yes
TKT-00129,Printer,Low,Open,Finance,Amit Sharma,2024-05-08 18:51:43,,,,No
TKT-00130,Email,Medium,Closed,Legal,Rohit Verma,2023-08-22 15:17:23,2023-08-23 20:17:23,29.0,No,No
TKT-00131,Email,Low,Resolved,Marketing,Anjali Mehta,2024-05-11 16:56:14,2024-05-13 14:56:14,46.0,No,Yes
TKT-00132,Access/Login,Critical,Closed,Marketing,Vikram Joshi,2023-03-17 02:29:48,2023-03-17 07:29:48,5.0,Yes,No
TKT-00133,Hardware,Low,Closed,Sales,Rohit Verma,2024-04-18 13:55:24,2024-04-20 22:55:24,57.0,No,No
TKT-00134,Email,Medium,Closed,Finance,Priya Singh,2024-01-27 09:24:20,2024-01-27 19:24:20,10.0,No,Yes
TKT-00135,Email,Medium,Resolved,Operations,Priya Singh,2024-02-02 04:30:15,2024-02-03 14:30:15,34.0,No,No
TKT-00136,Access/Login,Low,Resolved,Legal,Neha Gupta,2023-04-27 16:16:10,2023-04-29 14:16:10,46.0,No,No
TKT-00137,Hardware,Medium,Resolved,Operations,Rohit Verma,2023-04-05 05:29:58,2023-04-07 06:29:58,49.0,Yes,No
TKT-00138,Network,Low,Resolved,IT,Amit Sharma,2024-07-01 05:58:06,2024-07-02 21:58:06,40.0,No,No
TKT-00139,Email,Low,Closed,HR,Vikram Joshi,2024-12-16 09:18:23,2024-12-18 21:18:23,60.0,No,No
TKT-00140,Printer,High,In Progress,Operations,Anjali Mehta,2024-10-27 15:33:02,,,,Yes
TKT-00141,Software,Medium,Resolved,Marketing,Priya Singh,2024-08-28 22:55:11,2024-08-29 19:55:11,21.0,No,No
TKT-00142,Printer,Low,Closed,HR,Rohit Verma,2023-10-10 17:10:21,2023-10-13 11:10:21,66.0,No,No
TKT-00143,Printer,Low,In Progress,Sales,Anjali Mehta,2023-08-31 08:21:49,,,,No
TKT-00144,Email,High,Resolved,Operations,Rohit Verma,2023-02-10 05:55:22,2023-02-11 09:55:22,28.0,Yes,No
TKT-00145,Network,High,Resolved,HR,Neha Gupta,2024-09-04 06:03:16,2024-09-05 08:03:16,26.0,Yes,No
TKT-00146,Printer,High,In Progress,Legal,Vikram Joshi,2023-04-16 11:54:22,,,,Yes
TKT-00147,Hardware,Low,Resolved,Sales,Anjali Mehta,2024-04-02 02:48:53,2024-04-03 21:48:53,43.0,No,No
TKT-00148,Hardware,Medium,Resolved,Operations,Suresh Kumar,2023-09-21 23:44:34,2023-09-23 19:44:34,44.0,No,No
TKT-00149,Printer,High,In Progress,Sales,Anjali Mehta,2023-08-10 11:13:34,,,,No
TKT-00150,Hardware,Medium,Resolved,HR,Priya Singh,2024-02-27 15:28:34,2024-02-28 04:28:34,13.0,No,No
TKT-00151,Network,Medium,Closed,Operations,Neha Gupta,2024-07-07 11:24:11,2024-07-09 15:24:11,52.0,Yes,Yes
TKT-00152,Access/Login,Medium,Open,Operations,Neha Gupta,2024-01-06 02:50:52,,,,Yes
TKT-00153,Software,Medium,In Progress,Legal,Rohit Verma,2023-07-01 18:41:19,,,,Yes
TKT-00154,Printer,Medium,Resolved,Finance,Amit Sharma,2023-08-23 06:05:54,2023-08-23 16:05:54,10.0,No,No
TKT-00155,Printer,Medium,In Progress,HR,Vikram Joshi,2024-08-18 20:22:51,,,,Yes
TKT-00156,Software,Low,Closed,Finance,Suresh Kumar,2023-07-20 03:28:09,2023-07-21 16:28:09,37.0,No,No
TKT-00157,Network,High,Closed,Operations,Amit Sharma,2024-01-15 23:14:18,2024-01-16 05:14:18,6.0,No,No
TKT-00158,Email,Low,Resolved,Marketing,Vikram Joshi,2023-05-09 18:10:39,2023-05-10 07:10:39,13.0,No,No
TKT-00159,Software,Medium,Resolved,Sales,Amit Sharma,2023-02-28 20:53:15,2023-03-03 00:53:15,52.0,Yes,No
TKT-00160,Hardware,High,Resolved,Legal,Rohit Verma,2023-01-24 12:50:17,2023-01-24 17:50:17,5.0,No,No
TKT-00161,Email,Low,Closed,Marketing,Vikram Joshi,2023-03-22 02:53:28,2023-03-25 06:53:28,76.0,Yes,No
TKT-00162,Hardware,Critical,Open,IT,Anjali Mehta,2023-11-14 10:46:35,,,,No
TKT-00163,Hardware,High,Resolved,Finance,Amit Sharma,2024-06-04 13:32:21,2024-06-05 10:32:21,21.0,No,No
TKT-00164,Email,High,Resolved,Operations,Suresh Kumar,2024-08-13 12:24:05,2024-08-14 06:24:05,18.0,No,No
TKT-00165,Access/Login,Low,Closed,Legal,Anjali Mehta,2023-04-08 12:05:33,2023-04-11 20:05:33,80.0,Yes,Yes
TKT-00166,Access/Login,Medium,Resolved,Sales,Vikram Joshi,2024-08-30 08:29:54,2024-08-31 14:29:54,30.0,No,No
TKT-00167,Network,Medium,Closed,Sales,Priya Singh,2023-05-31 07:40:54,2023-05-31 16:40:54,9.0,No,No
TKT-00168,Hardware,Medium,Closed,Sales,Vikram Joshi,2024-01-07 10:34:45,2024-01-09 02:34:45,40.0,No,Yes
TKT-00169,Email,Medium,Closed,IT,Rohit Verma,2023-05-18 00:02:35,2023-05-20 12:02:35,60.0,Yes,No
TKT-00170,Network,Medium,Resolved,Operations,Suresh Kumar,2024-04-16 18:50:42,2024-04-17 08:50:42,14.0,No,No
TKT-00171,Software,High,Resolved,Operations,Rohit Verma,2023-10-06 10:03:12,2023-10-06 20:03:12,10.0,No,No
TKT-00172,Software,High,Open,Legal,Vikram Joshi,2023-05-24 14:49:51,,,,No
TKT-00173,Hardware,Medium,Closed,Marketing,Rohit Verma,2024-04-16 13:05:16,2024-04-17 05:05:16,16.0,No,No
TKT-00174,Network,Medium,Resolved,Finance,Suresh Kumar,2023-02-16 22:05:17,2023-02-17 07:05:17,9.0,No,No
TKT-00175,Hardware,High,Resolved,IT,Neha Gupta,2024-01-23 20:55:07,2024-01-24 09:55:07,13.0,No,No
TKT-00176,Printer,Medium,In Progress,Operations,Amit Sharma,2024-03-12 18:04:31,,,,No
TKT-00177,Hardware,Medium,Resolved,Marketing,Neha Gupta,2024-03-13 22:43:41,2024-03-15 17:43:41,43.0,No,No
TKT-00178,Network,Low,Closed,Sales,Neha Gupta,2023-08-24 07:25:36,2023-08-25 07:25:36,24.0,No,No
TKT-00179,Access/Login,Medium,Resolved,Finance,Neha Gupta,2024-12-28 21:37:34,2024-12-29 05:37:34,8.0,No,Yes
TKT-00180,Network,Critical,Closed,Legal,Rohit Verma,2023-03-04 23:20:49,2023-03-05 00:20:49,1.0,No,Yes
TKT-00181,Access/Login,High,Resolved,IT,Suresh Kumar,2023-02-05 04:47:36,2023-02-05 23:47:36,19.0,No,Yes
TKT-00182,Hardware,Medium,Closed,IT,Amit Sharma,2023-05-18 15:32:59,2023-05-19 00:32:59,9.0,No,No
TKT-00183,Email,Medium,Resolved,Marketing,Neha Gupta,2024-09-02 06:24:12,2024-09-02 18:24:12,12.0,No,No
TKT-00184,Network,Low,In Progress,IT,Vikram Joshi,2023-08-04 03:22:12,,,,No
TKT-00185,Software,Medium,Resolved,HR,Neha Gupta,2024-01-25 05:54:16,2024-01-27 09:54:16,52.0,Yes,No
TKT-00186,Network,High,Resolved,Marketing,Amit Sharma,2024-11-22 13:58:41,2024-11-22 21:58:41,8.0,No,No
TKT-00187,Network,High,Open,Legal,Priya Singh,2024-05-27 17:28:06,,,,No
TKT-00188,Software,Low,Resolved,Legal,Anjali Mehta,2024-11-25 19:24:11,2024-11-26 14:24:11,19.0,No,No
TKT-00189,Access/Login,High,Closed,IT,Anjali Mehta,2023-01-27 23:47:30,2023-01-28 21:47:30,22.0,No,No
TKT-00190,Network,High,Closed,Finance,Neha Gupta,2024-02-29 20:27:33,2024-03-01 12:27:33,16.0,No,No
TKT-00191,Network,Medium,Resolved,HR,Rohit Verma,2023-02-08 09:20:29,2023-02-09 18:20:29,33.0,No,No
TKT-00192,Network,High,Resolved,Legal,Vikram Joshi,2023-09-10 02:10:20,2023-09-10 23:10:20,21.0,No,Yes
TKT-00193,Access/Login,Medium,Closed,Legal,Anjali Mehta,2023-06-15 01:38:11,2023-06-16 10:38:11,33.0,No,No
TKT-00194,Printer,Low,Closed,Operations,Priya Singh,2023-05-14 05:11:49,2023-05-14 22:11:49,17.0,No,Yes
TKT-00195,Printer,Low,Closed,HR,Priya Singh,2024-09-19 14:59:23,2024-09-22 08:59:23,66.0,No,No
TKT-00196,Email,Low,Resolved,Sales,Neha Gupta,2023-12-16 15:59:37,2023-12-19 05:59:37,62.0,No,Yes
TKT-00197,Hardware,High,Closed,HR,Rohit Verma,2024-01-16 23:52:57,2024-01-17 22:52:57,23.0,No,No
TKT-00198,Network,Low,Open,Operations,Vikram Joshi,2023-09-03 02:18:12,,,,Yes
TKT-00199,Printer,Low,Resolved,Marketing,Anjali Mehta,2024-08-20 16:21:59,2024-08-23 04:21:59,60.0,No,No
TKT-00200,Network,Medium,Closed,Sales,Vikram Joshi,2024-09-23 04:39:36,2024-09-25 03:39:36,47.0,No,No
TKT-00201,Hardware,Medium,Resolved,Sales,Amit Sharma,2023-09-18 21:28:55,2023-09-19 21:28:55,24.0,No,No
TKT-00202,Network,Critical,Resolved,Finance,Priya Singh,2024-08-09 18:42:10,2024-08-09 20:42:10,2.0,No,No
TKT-00203,Email,High,Open,Operations,Amit Sharma,2024-07-12 19:13:47,,,,No
TKT-00204,Email,Medium,Resolved,Legal,Anjali Mehta,2024-04-10 21:47:28,2024-04-13 05:47:28,56.0,Yes,No
TKT-00205,Printer,Medium,Resolved,Marketing,Anjali Mehta,2024-07-08 23:05:24,2024-07-10 08:05:24,33.0,No,No
TKT-00206,Printer,High,Resolved,Finance,Rohit Verma,2024-06-05 17:56:17,2024-06-06 01:56:17,8.0,No,No
TKT-00207,Printer,Critical,In Progress,IT,Vikram Joshi,2024-07-20 22:53:29,,,,Yes
TKT-00208,Email,Medium,Resolved,Finance,Vikram Joshi,2024-04-27 23:41:38,2024-04-28 12:41:38,13.0,No,Yes
TKT-00209,Hardware,Medium,Open,Operations,Amit Sharma,2023-02-04 01:07:33,,,,Yes
TKT-00210,Hardware,High,Resolved,Operations,Priya Singh,2023-08-05 01:02:39,2023-08-05 10:02:39,9.0,No,Yes
TKT-00211,Network,Critical,Resolved,IT,Suresh Kumar,2024-04-15 14:40:21,2024-04-15 16:40:21,2.0,No,No
TKT-00212,Network,Low,Resolved,HR,Vikram Joshi,2023-03-04 10:23:26,2023-03-06 14:23:26,52.0,No,Yes
TKT-00213,Hardware,Low,Open,Marketing,Vikram Joshi,2024-11-11 07:28:29,,,,No
TKT-00214,Access/Login,Medium,In Progress,HR,Rohit Verma,2024-12-18 01:02:25,,,,No
TKT-00215,Printer,Medium,Resolved,Legal,Rohit Verma,2023-01-06 05:12:45,2023-01-07 05:12:45,24.0,No,No
TKT-00216,Software,Medium,Closed,IT,Amit Sharma,2023-09-22 11:53:17,2023-09-24 21:53:17,58.0,Yes,No
TKT-00217,Email,Medium,Closed,Operations,Priya Singh,2024-12-16 06:35:41,2024-12-17 05:35:41,23.0,No,No
TKT-00218,Email,Medium,Closed,Finance,Anjali Mehta,2024-11-12 23:53:41,2024-11-14 13:53:41,38.0,No,No
TKT-00219,Email,Medium,Closed,Operations,Suresh Kumar,2024-10-03 01:26:25,2024-10-04 06:26:25,29.0,No,No
TKT-00220,Hardware,Medium,In Progress,Sales,Anjali Mehta,2024-06-02 05:38:35,,,,Yes
